id	match	up_exit	rs_exit	up_bytes	rs_bytes	up_sha256	rs_sha256	stage	blocks	keys	up_stderr	rs_stderr
40-path-needs-a-separator-before-stages	same	0	0	28035	28035	eb9414990cd6bacc	eb9414990cd6bacc	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
41-path-with-a-leading-slash-resolves	same	0	0	27873	27873	cfcaba832999921f	cfcaba832999921f	intent-capture/intent-capture	1/1	subagent_type|prompt/subagent_type|prompt	-	-
42-path-at-the-very-start-resolves	same	0	0	27880	27880	518a0dc06053231a	518a0dc06053231a	intent-capture/intent-capture	1/1	subagent_type|prompt/subagent_type|prompt	-	-
43-backslash-separators-resolve	same	0	0	27877	27877	6e46407bd0a278dc	6e46407bd0a278dc	intent-capture/intent-capture	1/1	subagent_type|prompt/subagent_type|prompt	-	-
44-mixed-separators-resolve	same	0	0	27875	27875	41982bcee8527533	41982bcee8527533	intent-capture/intent-capture	1/1	subagent_type|prompt/subagent_type|prompt	-	-
45-mdx-suffix-is-rejected	same	0	0	28038	28038	733351ab2788b27c	733351ab2788b27c	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
46-uppercase-phase-still-matches-but-slug-must-be-exact	same	0	0	27874	27874	e97e7909dc614ec8	e97e7909dc614ec8	intent-capture/intent-capture	1/1	subagent_type|prompt/subagent_type|prompt	-	-
47-unknown-phase-directory-is-rejected	same	0	0	28042	28042	a32c704979435c7c	a32c704979435c7c	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
48-first-path-in-the-prompt-wins	same	0	0	27917	27917	edbf88e7915a4a81	edbf88e7915a4a81	intent-capture/intent-capture	1/1	subagent_type|prompt/subagent_type|prompt	-	-
49-dotted-basename-is-rejected	same	0	0	28043	28043	3fbab11ed38eb614	3fbab11ed38eb614	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
50-subagent-two-stages-two-different-bundles	same	0	0	55775	55775	11b4829a90ea915e	11b4829a90ea915e	domain-design/domain-design	2/2	stages/stages	-	-
51-run-in-background-false-is-a-normal-dispatch	same	0	0	28028	28028	525cd01ead72a92b	525cd01ead72a92b	code-generation/code-generation	1/1	subagent_type|prompt|run_in_background/subagent_type|prompt|run_in_background	-	-
52-stateless-project-dir-missing-rules-is-exit-2	DIFFER	2	0	0	0	-	-	-/-	0/0	-/-	Cannot load required stage rule "aidlc/spaces/default/memory/org.md" (ENOENT: no such file or directory, open '/Users/j5	-
53-stateless-project-dir-unique-slug-resolves	same	0	0	15920	15920	ef5c80358a103830	ef5c80358a103830	intent-capture/intent-capture	1/1	subagent_type|prompt/subagent_type|prompt	-	-
54-stateless-two-slugs-is-ambiguous-and-binds-nothing	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
55-stateless-no-slug-binds-nothing	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
56-stateless-slug-adjacent-word-char-is-not-a-mention	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
57-stateless-slug-adjacent-hyphen-is-not-a-mention	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
58-stateless-slug-adjacent-underscore-is-a-boundary	same	0	0	15922	15922	cfca3cc9854f7c6b	cfca3cc9854f7c6b	intent-capture/intent-capture	1/1	subagent_type|prompt/subagent_type|prompt	-	-
59-stateless-slug-uppercase-still-matches	same	0	0	15920	15920	5100514b9cf29ab4	5100514b9cf29ab4	intent-capture/intent-capture	1/1	subagent_type|prompt/subagent_type|prompt	-	-
60-stateless-explicit-path-still-outranks	same	0	0	16049	16049	b453b0825ff42e43	b453b0825ff42e43	domain-design/domain-design	1/1	subagent_type|prompt/subagent_type|prompt	-	-
61-malformed-json-is-exit-0	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
62-empty-stdin-is-exit-0	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
63-json-array-stdin	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
64-json-null-stdin	DIFFER	1	0	0	0	-	-	-/-	0/0	-/-	310 | return 0; 311 | } 312 | const rawProjectDir = 313 | process.env.AIDLC_PROJECT_DIR ?? 314 | process.env.CLAUDE_PROJ	-
# same=23 differ=2 total=25
